Loading Train and Test Sets
Loaded
Epoch: 0, Train Loss: 0.7076, Train A: 0.3667, P: 0.0000, R: 0.0000, F1: 0.0000, Test A: 0.4400, P: 0.0000, R: 0.0000, F1: 0.0000
Epoch: 1, Train Loss: 0.6992, Train A: 0.3667, P: 0.0000, R: 0.0000, F1: 0.0000, Test A: 0.4500, P: 1.0000, R: 0.0179, F1: 0.0351
Epoch: 2, Train Loss: 0.6948, Train A: 0.4033, P: 0.6897, R: 0.1053, F1: 0.1826, Test A: 0.4500, P: 0.5333, R: 0.1429, F1: 0.2254
Epoch: 3, Train Loss: 0.6928, Train A: 0.5233, P: 0.7238, R: 0.4000, F1: 0.5153, Test A: 0.5500, P: 0.6078, R: 0.5536, F1: 0.5794
Epoch: 4, Train Loss: 0.6909, Train A: 0.6300, P: 0.6985, R: 0.7316, F1: 0.7147, Test A: 0.5500, P: 0.5632, R: 0.8750, F1: 0.6853
Epoch: 5, Train Loss: 0.6884, Train A: 0.6467, P: 0.6544, R: 0.9368, F1: 0.7706, Test A: 0.5500, P: 0.5591, R: 0.9286, F1: 0.6980
Epoch: 6, Train Loss: 0.6861, Train A: 0.6367, P: 0.6392, R: 0.9789, F1: 0.7734, Test A: 0.5500, P: 0.5556, R: 0.9821, F1: 0.7097
Epoch: 7, Train Loss: 0.6837, Train A: 0.6333, P: 0.6351, R: 0.9895, F1: 0.7737, Test A: 0.5500, P: 0.5556, R: 0.9821, F1: 0.7097
Epoch: 8, Train Loss: 0.6826, Train A: 0.6367, P: 0.6364, R: 0.9947, F1: 0.7762, Test A: 0.5500, P: 0.5556, R: 0.9821, F1: 0.7097
Epoch: 9, Train Loss: 0.6810, Train A: 0.6333, P: 0.6342, R: 0.9947, F1: 0.7746, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 10, Train Loss: 0.6792, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 11, Train Loss: 0.6770, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 12, Train Loss: 0.6758, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 13, Train Loss: 0.6735, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 14, Train Loss: 0.6719, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 15, Train Loss: 0.6706, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 16, Train Loss: 0.6695, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 17, Train Loss: 0.6674, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 18, Train Loss: 0.6654, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 19, Train Loss: 0.6632, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 20, Train Loss: 0.6616, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 21, Train Loss: 0.6599, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 22, Train Loss: 0.6587, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 23, Train Loss: 0.6580, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 24, Train Loss: 0.6567, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 25, Train Loss: 0.6564, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 26, Train Loss: 0.6546, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 27, Train Loss: 0.6535, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 28, Train Loss: 0.6525, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 29, Train Loss: 0.6522, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 30, Train Loss: 0.6517, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 31, Train Loss: 0.6510, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 32, Train Loss: 0.6510, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 33, Train Loss: 0.6511, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 34, Train Loss: 0.6508, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
Epoch: 35, Train Loss: 0.6500, Train A: 0.6333, P: 0.6333, R: 1.0000, F1: 0.7755, Test A: 0.5600, P: 0.5600, R: 1.0000, F1: 0.7179
