train loaded 186 items
test loaded 93 items
Epoch: 0, Train Loss: 0.6919, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 1, Train Loss: 0.6919, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 2, Train Loss: 0.6918, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 3, Train Loss: 0.6918, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 4, Train Loss: 0.6918, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 5, Train Loss: 0.6918, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 6, Train Loss: 0.6917, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 7, Train Loss: 0.6917, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 8, Train Loss: 0.6917, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 9, Train Loss: 0.6917, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 10, Train Loss: 0.6916, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 11, Train Loss: 0.6916, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 12, Train Loss: 0.6916, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 13, Train Loss: 0.6915, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 14, Train Loss: 0.6915, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 15, Train Loss: 0.6915, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 16, Train Loss: 0.6915, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 17, Train Loss: 0.6914, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 18, Train Loss: 0.6914, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 19, Train Loss: 0.6914, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 20, Train Loss: 0.6914, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 21, Train Loss: 0.6913, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 22, Train Loss: 0.6913, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 23, Train Loss: 0.6913, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 24, Train Loss: 0.6913, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 25, Train Loss: 0.6912, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 26, Train Loss: 0.6912, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 27, Train Loss: 0.6912, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 28, Train Loss: 0.6912, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 29, Train Loss: 0.6912, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 30, Train Loss: 0.6911, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 31, Train Loss: 0.6911, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 32, Train Loss: 0.6911, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 33, Train Loss: 0.6911, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 34, Train Loss: 0.6911, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 35, Train Loss: 0.6911, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 36, Train Loss: 0.6910, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 37, Train Loss: 0.6910, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 38, Train Loss: 0.6910, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 39, Train Loss: 0.6910, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 40, Train Loss: 0.6910, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 41, Train Loss: 0.6909, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 42, Train Loss: 0.6909, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 43, Train Loss: 0.6909, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 44, Train Loss: 0.6909, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 45, Train Loss: 0.6909, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 46, Train Loss: 0.6909, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 47, Train Loss: 0.6908, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 48, Train Loss: 0.6908, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 49, Train Loss: 0.6908, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 50, Train Loss: 0.6908, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 51, Train Loss: 0.6908, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 52, Train Loss: 0.6908, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 53, Train Loss: 0.6908, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 54, Train Loss: 0.6908, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 55, Train Loss: 0.6908, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 56, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 57, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 58, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 59, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 60, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 61, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 62, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 63, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 64, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 65, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 66, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 67, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 68, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 69, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 70, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 71, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 72, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 73, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 74, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 75, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 76, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 77, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 78, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 79, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 80, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 81, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 82, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 83, Train Loss: 0.6907, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 84, Train Loss: 0.6906, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 85, Train Loss: 0.6906, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 86, Train Loss: 0.6906, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 87, Train Loss: 0.6906, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 88, Train Loss: 0.6906, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 89, Train Loss: 0.6905, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 90, Train Loss: 0.6905, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 91, Train Loss: 0.6905, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 92, Train Loss: 0.6905, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 93, Train Loss: 0.6905, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 94, Train Loss: 0.6905, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 95, Train Loss: 0.6905, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 96, Train Loss: 0.6905, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 97, Train Loss: 0.6905, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 98, Train Loss: 0.6905, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 99, Train Loss: 0.6905, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 100, Train Loss: 0.6905, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 101, Train Loss: 0.6905, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 102, Train Loss: 0.6905, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
Epoch: 103, Train Loss: 0.6905, Train A: 0.5323, P: 0.5323, R: 1.0000, F1: 0.6947, Test A: 0.4624, P: 0.4624, R: 1.0000, F1: 0.6324
